Sample,contaminant,mass
CP916,4HCCA Cluster,871.0453
CP916,Porcine Trypsin,842.5094
CP916,Porcine Trypsin - Methylated,870.5407
CP925,Porcine Trypsin,2211.104
CP887,4HCCA Cluster,855.0714
CP998,4HCCA Cluster,855.0714
CP998,4HCCA Cluster,1060.0879
CP867,Porcine Trypsin,842.5094
CP867,Porcine Trypsin,1045.5637
CP867,Porcine Trypsin - Methylated,870.5407
CP974,Bovine Casein a-S1,1251.7096
CP974,Keratin (Human),1121.5837
CP883,Bovine Casein a-S1,1251.7096
CP883,Keratin (Human),1121.5837
CP883,Porcine Trypsin - Methylated,870.5407
CP870,4HCCA Cluster,1060.0879
CP870,Porcine Trypsin,842.5094
CP870,Porcine Trypsin,1045.5637
CP870,Porcine Trypsin - Methylated,870.5407
CP911,4HCCA Cluster,871.0453
CP899,4HCCA Cluster,871.0453
CP899,Keratin (Human),1393.7322
CP927,Porcine Trypsin,842.5094
CP927,Porcine Trypsin,1045.5637
CP927,Porcine Trypsin - Methylated,870.5407
CP987,Keratin (Human),827.4298
CP987,Keratin (Human),827.4621
CP956,Keratin (Human),1121.5837
CP915,Keratin (Human),1307.6776
CP909,4HCCA Cluster,855.0714
CP909,4HCCA Cluster,871.0453
CP896,4HCCA Cluster,855.0714
CP896,4HCCA Cluster,871.0453
CP896,Porcine Trypsin,842.5094
CP896,Porcine Trypsin - Methylated,870.5407
CP882,4HCCA Cluster,855.0714
CP882,4HCCA Cluster,1060.0879
CP882,Porcine Trypsin,842.5094
CP882,Porcine Trypsin,1045.5637
CP882,Porcine Trypsin - Methylated,870.5407
CP962,4HCCA Cluster,855.0714
CP962,4HCCA Cluster,1060.0879
CP962,Porcine Trypsin,842.5094
CP962,Porcine Trypsin - Methylated,870.5407
CP969,Keratin (Human),1121.5837
CP969,Keratin (Human),1393.7322
CP924,Porcine Trypsin - Methylated,870.5407
CP936,4HCCA Cluster,855.0714
CP936,4HCCA Cluster,861.0794
CP981,4HCCA Cluster,855.0714
CP981,4HCCA Cluster,1060.0879
CP988,Keratin,2705.1611
CP988,Keratin (Human),1121.5837
CP904,Bovine Casein a-S1,1251.7096
CP904,Keratin,2705.1611
CP904,Keratin (Human),1121.5837
CP904,Keratin (Human),1393.7322
CP904,Keratin (Human),2566.2784
CP880,Keratin (Human),1265.6372
CP880,Keratin (Human),1393.7322
CP880,Porcine Trypsin,842.5094
CP880,Porcine Trypsin,1045.5637
CP880,Porcine Trypsin - Methylated,870.5407
CP892,4HCCA Cluster,855.0714
CP892,Porcine Trypsin,842.5094
CP892,Porcine Trypsin,1045.5637
CP892,Porcine Trypsin - Methylated,870.5407
CP943,Porcine Trypsin - Methylated,870.5407
CP951,Bovine Casein a-S1,1251.7096
CP951,Keratin (Human),1121.5837
CP881,4HCCA Cluster,855.0714
CP881,4HCCA Cluster,1060.0879
CP881,Porcine Trypsin,842.5094
CP881,Porcine Trypsin - Methylated,870.5407
CP872,4HCCA Cluster,855.0714
CP872,4HCCA Cluster,1060.0879
CP872,Keratin (Human),1265.6372
CP872,Keratin (Human),1393.7322
CP872,Porcine Trypsin - Methylated,870.5407
CP888,Keratin,2705.1611
CP888,Keratin (Human),1121.5837
CP891,4HCCA Cluster,855.0714
CP891,4HCCA Cluster,1066.0959
CP891,4HCCA Cluster,1060.0879
CP891,Porcine Trypsin,842.5094
CP891,Porcine Trypsin,1045.5637
CP891,Porcine Trypsin - Methylated,870.5407
CP875,4HCCA Cluster,855.0714
CP875,4HCCA Cluster,1060.0879
CP875,Keratin (Human),1393.7322
CP875,Porcine Trypsin - Methylated,870.5407
CP926,Porcine Trypsin,2211.104
CP926,Porcine Trypsin - Methylated,870.5407
CP908,4HCCA Cluster,871.0453
CP908,4HCCA Cluster,1060.0879
CP930,4HCCA Cluster,855.0714
CP930,4HCCA Cluster,871.0453
CP938,4HCCA Cluster,855.0714
CP938,Porcine Trypsin,2211.104
CP938,Porcine Trypsin - Methylated,870.5407
CP910,Keratin,2705.1611
CP910,Keratin (Human),1121.5837
CP910,Keratin (Human),1393.7322
CP963,Porcine Trypsin,842.5094
CP963,Porcine Trypsin,1045.5637
CP963,Porcine Trypsin - Methylated,870.5407
CP900,4HCCA Cluster,855.0714
CP900,4HCCA Cluster,1060.0879
CP912,Porcine Trypsin,2211.104
CP995,Keratin (Human),1121.5837
CP940,Keratin (Human),1121.5837
CP940,Keratin (Human),2150.0778
CP980,Keratin (Human),1121.5837
CP975,4HCCA Cluster,855.0714
CP975,4HCCA Cluster,1060.0879
CP975,Porcine Trypsin,842.5094
CP975,Porcine Trypsin - Methylated,870.5407
CP876,Porcine Trypsin - Methylated,870.5407
CP871,Keratin (Human),1121.5837
CP893,Porcine Trypsin,842.5094
CP893,Porcine Trypsin - Methylated,870.5407
CP886,4HCCA Cluster,855.0714
CP886,Bovine Casein a-S1,1251.7096
CP886,Keratin (Human),1265.6372
CP886,Keratin (Human),1393.7322
CP978,4HCCA Cluster,1060.0879
CP978,Bovine Casein a-S1,1251.7096
CP978,Porcine Trypsin,842.5094
CP978,Porcine Trypsin,2211.104
CP978,Porcine Trypsin - Methylated,870.5407
CP959,Keratin,2705.1611
CP959,Keratin (Human),1121.5837
CP959,Keratin (Human),2150.0778
CP877,4HCCA Cluster,855.0714
CP877,4HCCA Cluster,1060.0879
CP877,Porcine Trypsin,842.5094
CP877,Porcine Trypsin - Methylated,870.5407
CP879,Porcine Trypsin,842.5094
CP879,Porcine Trypsin,1045.5637
CP879,Porcine Trypsin - Methylated,870.5407
CP1115,4HCCA Cluster,855.0714
CP1115,4HCCA Cluster,1060.0879
CP901,Porcine Trypsin,2211.104
CP901,Porcine Trypsin - Methylated,870.5407
CP905,4HCCA Cluster,855.0714
CP905,Porcine Trypsin - Methylated,870.5407
CP917,Keratin (Human),1121.5837
CP917,Keratin (Human),2150.0778
CP917,Porcine Trypsin - Methylated,870.5407
CP986,Keratin (Human),1121.5837
CP986,Keratin (Human),2566.2784
CP897,4HCCA Cluster,871.0453
CP897,Porcine Trypsin,842.5094
CP897,Porcine Trypsin - Methylated,870.5407
CP935,4HCCA Cluster,871.0453
CP914,Porcine Trypsin,2211.104
CP992,Keratin (Human),2566.2784
CP898,4HCCA Cluster,855.0714
CP898,Porcine Trypsin,2211.104
CP898,Porcine Trypsin - Methylated,870.5407
CP982,Keratin,2705.1611
CP982,Keratin (Human),1121.5837
CP976,Keratin (Human),827.4298
CP976,Keratin (Human),827.4621
CP997,Keratin,2705.1611
CP997,Porcine Trypsin - Methylated,870.5407
CP990,4HCCA Cluster,855.0714
CP990,4HCCA Cluster,1060.0879
CP945,4HCCA Cluster,855.0714
CP945,4HCCA Cluster,871.0453
CP945,4HCCA Cluster,1060.0879
CP985,4HCCA Cluster,855.0714
CP985,4HCCA Cluster,1060.0879
CP985,Porcine Trypsin,842.5094
CP985,Porcine Trypsin - Methylated,870.5407
CP894,Keratin (Human),1121.5837
CP919,4HCCA Cluster,855.0714
CP919,4HCCA Cluster,1060.0879
CP966,Porcine Trypsin,842.5094
CP966,Porcine Trypsin - Methylated,870.5407
CP952,Keratin (Human),1121.5837
