Sample,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,COL1a2_10__42,ZooMS_taxon,Family,Order,Correlation
CP871E1,1453.7,2145.1,,2897.4,2913.4,2943.4,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.359445609
CP872C1,,1137.6,,1453.7,,,,,,,,,,Trichosurus,Phalangeridae,Diprotodontia,0.152566086
CP876A1,1162.6,,,1453.7,,,,,,,2973.4,,,Isoodon,Peramelidae,Peramelemorphia,0.251269853
CP878A2,1453.7,,,,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.312876968
CP883B1,1162.6,,,1453.7,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.237894749
CP884B3,1453.7,2145.1,,,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.250727411
CP885D3,1162.6,,,1453.7,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.132535496
CP886D1,,1221.6,,1453.7,,,,,,,,,,Macrotus,Phyllostomidae,Chiroptera,0.121061005
CP887C1,1453.7,,,,,,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.233782662
CP888D1,1453.7,2145.1,,2897.4,2913.4,2943.4,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.415242159
CP894A3,1453.7,2145.1,,2897.4,,,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.39905675
CP902C2,1453.7,2145.1,,,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.325813419
CP903C3,1162.6,,,1453.7,,2145.1,,,,,,2975.4,,Trichosurus,Phalangeridae,Diprotodontia,0.342479565
CP904C1,1453.7,,,2957.4,2975.4,,,,,,,,,Isoodon,Peramelidae,Peramelemorphia,0.386006827
CP910C1,1453.7,,,2957.4,2975.4,,,,,,,,,Isoodon,Peramelidae,Peramelemorphia,0.365858671
CP913A1,1162.6,,,1453.7,,2145.1,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.353879234
CP917F1,1453.7,,,,,,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.201370565
CP929F1,1453.7,2145.1,,,2975.4,,,,,,,,,Simosthenurus,Macropodidae,Diprotodontia,0.280192496
CP937A1,1453.7,2145.1,,,,,,,,,,,,Simosthenurus,Macropodidae,Diprotodontia,0.385862299
CP939A1,1453.7,2145.1,,,,,,,,,,,,Simosthenurus,Macropodidae,Diprotodontia,0.373328877
CP940F1,1453.7,2145.1,,,,,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.306002055
CP942G2,1453.7,2145.1,,2943.4,2975.4,,,,,,,,,Simosthenurus/Lagorchestes,Macropodidae,Diprotodontia,0.40228153
CP946A1,1162.6,,,1453.7,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.345206492
CP947G3,1453.7,2145.1,,,2975.4,,,,,,,,,Simosthenurus,Macropodidae,Diprotodontia,0.227101884
CP950H1,1453.7,2145.1,,2897.4,2913.4,,2975.4,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.397646728
CP951H3,1453.7,2145.1,,2943.4,2975.4,,,,,,,,,Simosthenurus,Macropodidae,Diprotodontia,0.308733268
CP952I1,1453.7,2145.1,,,2975.4,,,,,,,,,Simosthenurus/Lagorchestes,Macropodidae,Diprotodontia,0.22064817
CP953A2,1162.6,,,1453.7,,2145.1,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.295685502
CP954I5,1453.7,2145.1,,,2975.4,,,,,,,,,Simosthenurus/Lagorchestes,Macropodidae,Diprotodontia,0.188015787
CP955I3,1453.7,,,,,,2975.4,,,,,,,Trichosurus/Lagochestes,Macropodidae,Diprotodontia,0.217172708
CP956G1,1453.7,2145.1,,2897.4,,,2975.4,,,,,,,Trichosurus/Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.296661272
CP959L3,1453.7,,,,2975.4,,,,,,,,,Isoodon,Peramelidae,Peramelemorphia,0.162564746
CP960A1,1453.7,,,,,,,,,,,,,Simosthenurus/Lagorchestes,Macropodidae,Diprotodontia,0.182143719
CP961B1,1453.7,2145.1,,2897.4,,,,,,,,,,Lagorchestes/Lagostrophus/Macropus,Macropodidae,Diprotodontia,0.432036579
