Sample,contaminant,mass
AEB01T1ZID414,4HCCA Cluster,855.0714
AEB01T1ZID414,4HCCA Cluster,861.0794
AEB01T1ZID414,4HCCA Cluster,1066.0959
AEB01T1ZID414,Bovine Casein a-S1,1267.7045
AEB01T1ZID414,Keratin (Human),1193.6161
AEB01T1ZID415,4HCCA Cluster,855.0714
AEB01T1ZID415,4HCCA Cluster,861.0794
AEB01T1ZID415,Bovine Casein a-S1,1267.7045
AEB01T1ZID415,Keratin (Human),1193.6161
AEB01T1ZID415,"Porcine Trypsin, Methylated",2720.3634
AEB01T1372ZIP1968,Bovine Casein a-S1,1267.7045
AEB01T1372ZIP1968,Porcine Trypsin,842.5094
AEB01T1ZID412,4HCCA Cluster,855.0714
AEB01T1ZID412,4HCCA Cluster,861.0794
AEB01T1ZID412,Bovine Casein a-S1,1267.7045
AEB01T1ZID412,Keratin,2705.1611
AEB01T1ZID416,4HCCA Cluster,855.0714
AEB01T1ZID416,4HCCA Cluster,861.0794
AEB01T1ZID416,4HCCA Cluster,871.0453
AEB01T1ZID416,4HCCA Cluster,1066.0959
AEB01T1ZID416,4HCCA Cluster,1060.0879
AEB01T1ZID416,Bovine Casein a-S1,1267.7045
AEB01T1ZID416,Keratin (Human),1066.6044
AEB01T1372ZIP1967,Bovine Casein a-S1,1267.7045
AEB01T1372ZIP1967,Porcine Trypsin,842.5094
AEB01T1372ZIP1967,"Porcine Trypsin, Methylated, Truncated",1126.564
AEB01T1ZID413,4HCCA Cluster,855.0714
AEB01T1ZID413,4HCCA Cluster,861.0794
AEB01T1ZID413,Bovine Casein a-S1,1267.7045
AEB01T1ZID413,Keratin,2705.1611
AEB01T1ZID413,Keratin (Human),1208.6157
AEB01T1ZID417,4HCCA Cluster,855.0714
AEB01T1ZID417,4HCCA Cluster,861.0794
AEB01T1ZID417,4HCCA Cluster,1066.0959
AEB01T1ZID417,Bovine Casein a-S1,1267.7045
AEB01T1ZID417,Keratin (Human),1066.6044
