Sample,COL1_1_508_519,COL1_2_978_990,COL1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,ZooMS_taxon,Family,Order,Correlation
DC12728,1105.6,,,1427.7,1550.8,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.270270216
DC12729,1105.6,1453.7,1579.8,,,2853.4,,,,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.095905108
DC12730,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Ovis/Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.200447738
DC12731,1105.6,,1208.6,1427.7,,1648.8,2131.1,,2853.4,,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.206662105
DC12733,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,2899.4,,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.247120964
DC12734,1105.6,1453.7,,2115.1,,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.23791868
DC12735,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.180084012
DC12736,1105.6,,,1427.7,,1648.8,2131.1,,,,,3033.4,Ovibos/Cervus/Saiga/Gazelle,Bovidae/Cervidae,Artiodactyla,0.245779656
DC12737,1105.6,,,1453.7,1550.8,2145.1,2869.4,2885.4,,,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.218959141
DC12738,1105.6,1182.6,,1427.7,1550.8,,2145.1,,2883.4,,,,Equus,Equidae,Perissodactyla,0.236428414
DC12739,,1453.7,1566.8,,2853.4,,,,,,,,Mustela,Mustelidae,Carnivora,0.110259764
DC12740,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle/Ovis/Ovibos,Cervidae/Bovidae,Artiodactyla,0.208089083
DC12741,1105.6,,,1453.7,1550.8,2145.1,2869.4,,,,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.209559451
DC12742,1105.6,,,1427.7,,,2131.1,,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.252948724
DC12743,1105.6,,1208.6,1427.7,1580.8,1648.8,,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.183968725
DC12744,1105.6,,1208.6,1427.7,1580.8,1648.8,,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.182859811
DC12745,1105.6,1182.6,,1427.7,1550.8,,,,,,,,Equus,Equidae,Perissodactyla,0.122858758
DC12746,1105.6,1182.6,,1427.7,1550.8,,2145.1,,2883.4,,,,Equus,Equidae,Perissodactyla,0.169544712
DC12748,1105.6,,,1427.7,1550.8,,2131.1,,,2899.4,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.232402195
DC12749,1105.6,,1208.6,1427.7,,1648.8,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.267902924
DC12750,1105.6,,,1453.7,,2145.1,2869.4,,,2999.4,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.219949016
DC12751,1105.6,,,1427.7,,,2131.1,,2883.4,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.192718283
DC12752,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.289831777
DC12753,1105.6,1182.6,,1427.7,1550.8,,,,,2899.4,,,Equus,Equidae,Perissodactyla,0.148535233
DC12753,1105.6,,1196.6,1427.7,1550.8,,,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.109361632
DC12754,1105.6,1182.6,,1427.7,1550.8,,2145.1,,2883.4,,,,Equus,Equidae,Perissodactyla,0.203625533
DC12755,1105.6,,,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.325572593
DC12756,1105.6,,,1427.7,,,2131.1,,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle/Ovis/Ovibos,Cervidae/Bovidae,Artiodactyla,0.202246764
DC12757,1105.6,,,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.270565733
DC12758,1105.6,1192.6,1208.6,1427.7,,1648.8,2131.1,2792.4,2853.4,,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.17991774
DC12759,1105.6,,,1427.7,1580.8,,2131.1,,,,,,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.171149833
DC12760,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle/Ovis,Cervidae/Bovidae,Artiodactyla,0.24961436
DC12761,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle/Ovis/Ovibos,Cervidae/Bovidae,Artiodactyla,0.246282971
DC12762,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,,,2999.4,Equus,Equidae,Perissodactyla,0.210672628
DC12763,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle/Ovis,Cervidae/Bovidae,Artiodactyla,0.241158206
DC12764,1105.6,1182.6,,1427.7,1550.8,,2145.1,,2883.4,2899.4,,,Equus,Equidae,Perissodactyla,0.211476594
DC12765,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle/Ovis/Ovibos,Cervidae/Bovidae,Artiodactyla,0.219120715
DC12766,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,,,,Equus,Equidae,Perissodactyla,0.222269256
DC12767,1105.6,1182.6,,1427.7,1550.8,,,,2883.4,,,,Equus,Equidae,Perissodactyla,0.205948948
DC12768,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle/Ovibos,Cervidae/Bovidae,Artiodactyla,0.242077892
DC12769,1105.6,,,1427.7,,,2131.1,,2883.4,,3077.4,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.222832836
DC12770,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.257294975
DC12771,1105.6,1182.6,,1427.7,,,2145.1,,2883.4,,,2999.4,Equus,Equidae,Perissodactyla,0.250772256
DC12772,1105.6,,,1427.7,,1648.8,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle/Ovis,Cervidae/Bovidae,Artiodactyla,0.230857232
DC12773,1105.6,,,1453.7,1550.8,2145.1,2869.4,2885.4,,2999.4,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.214517024
DC12774,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,,,,Bos/Bison,Bovidae,Artiodactyla,0.203958929
DC12775,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.209472519
DC12776,1105.6,1182.6,,1427.7,1550.8,,,,2883.4,,,,Equus,Equidae,Perissodactyla,0.155226029
DC12777,1105.6,,1235.6,1477.7,1580.8,,2115.1,2832.4,2869.4,2885.4,2957.4,,Homo,Hominidae,Primates,0.27414265
DC12778,1105.6,,,1427.7,,,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle/Ovibos,Cervidae/Bovidae,Artiodactyla,0.243853099
DC12779,1105.6,,,1427.7,1550.8,1648.8,2131.1,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.195372682
DC12780,1105.6,,,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.275974763
DC12781,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.185154159
DC12782,1105.6,,,1427.7,,,2131.1,,2853.4,,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.214900543
