Sample,contaminant,mass
DC15148,4HCCA Cluster,855.0714
DC15148,4HCCA Cluster,861.0794
DC15148,4HCCA Cluster,606.0915
DC15148,Keratin,1549.6772
DC15148,Keratin,2705.1611
DC15148,Keratin (Human),1193.6161
DC15010,4HCCA Cluster,839.0974
DC15010,4HCCA Cluster,845.1054
DC15010,4HCCA Cluster,855.0714
DC15010,4HCCA Cluster,861.0794
DC15010,4HCCA Cluster,871.0453
DC15010,4HCCA Cluster,1066.0959
DC15010,4HCCA Cluster,1060.0879
DC15010,4HCCA Cluster,606.0915
DC15010,Bovine Casein a-S1,1267.7045
DC15010,Keratin,2705.1611
DC15010,Keratin (Human),1201.6171
DC15272,4HCCA Cluster,855.0714
DC15272,4HCCA Cluster,871.0453
DC15272,4HCCA Cluster,1060.0879
DC15272,4HCCA Cluster,606.0915
DC15272,Bovine Casein a-S1,1267.7045
DC15272,Keratin,2581.1947
DC15272,"Porcine Trypsin, Methylated",2720.3634
DC15135,4HCCA Cluster,855.0714
DC15135,4HCCA Cluster,871.0453
DC15135,4HCCA Cluster,606.0915
DC15135,Keratin,1549.6772
DC15135,Keratin (Human),1193.6161
DC15130,4HCCA Cluster,855.0714
DC15130,4HCCA Cluster,871.0453
DC15130,4HCCA Cluster,606.0915
DC15130,Bovine Casein a-S1,1267.7045
DC15130,Bovine Serum Albumin (BSA),1491.7518
DC15130,Keratin,1549.6772
DC15130,Keratin,2705.1611
DC15130,Keratin (Human),1475.7489
DC15130,Keratin (Human),1475.7853
DC15130,Keratin (Human),1491.7438
DC15130,Keratin (Human),2566.2784
DC15030,4HCCA Cluster,855.0714
DC15030,Bovine Casein a-S1,1267.7045
DC15030,Keratin,809.4403
DC15030,Keratin,1549.6772
DC15030,Keratin,2705.1611
DC15030,Keratin (Human),1193.6161
DC15030,Keratin (Human),1201.6171
DC15079,4HCCA Cluster,855.0714
DC15079,Keratin,1549.6772
DC15079,Keratin (Human),1193.6161
DC15268,4HCCA Cluster,855.0714
DC15268,4HCCA Cluster,871.0453
DC15268,4HCCA Cluster,606.0915
DC15268,Keratin,1797.0116
DC15098,4HCCA Cluster,855.0714
DC15098,4HCCA Cluster,871.0453
DC15098,Bovine Casein a-S1,1267.7045
DC15098,Keratin,1549.6772
DC15098,Keratin,2705.1611
DC15098,Keratin (Human),1201.6171
DC15248,4HCCA Cluster,855.0714
DC15248,4HCCA Cluster,871.0453
DC15248,4HCCA Cluster,606.0915
DC15248,Bovine Casein a-S1,1267.7045
DC15248,Keratin (Human),1201.6171
DC15248,Keratin (Human),2566.2784
DC15248,"Porcine Trypsin, Methylated",2720.3634
DC15248,"Porcine Trypsin, Truncated",1713.8079
DC15004,4HCCA Cluster,839.0974
DC15004,4HCCA Cluster,855.0714
DC15004,4HCCA Cluster,861.0794
DC15004,4HCCA Cluster,871.0453
DC15004,4HCCA Cluster,1066.0959
DC15004,4HCCA Cluster,606.0915
DC15004,Bovine Casein a-S1,1267.7045
DC15004,Keratin,1549.6772
DC15004,Keratin (Human),1193.6161
DC15287,4HCCA Cluster,855.0714
DC15287,4HCCA Cluster,871.0453
DC15287,4HCCA Cluster,606.0915
DC15211,Keratin,809.4403
DC15211,Keratin,1549.6772
DC15211,Keratin,2705.1611
DC15141,4HCCA Cluster,855.0714
DC15141,Bovine Casein a-S1,1267.7045
DC15141,Keratin,1549.6772
DC15141,Keratin,2705.1611
DC15036,4HCCA Cluster,839.0974
DC15036,4HCCA Cluster,855.0714
DC15036,4HCCA Cluster,861.0794
DC15036,4HCCA Cluster,871.0453
DC15036,4HCCA Cluster,1066.0959
DC15036,Bovine Casein a-S1,1267.7045
DC15036,Keratin,1549.6772
DC15036,Keratin,2705.1611
DC15036,Keratin (Human),2286.1248
DC15051,4HCCA Cluster,839.0974
DC15051,4HCCA Cluster,845.1054
DC15051,4HCCA Cluster,855.0714
DC15051,4HCCA Cluster,861.0794
DC15051,4HCCA Cluster,871.0453
DC15051,4HCCA Cluster,1066.0959
DC15051,Bovine Casein a-S1,1267.7045
DC15051,Keratin,1549.6772
DC15051,Keratin (Human),1201.6171
DC15094,4HCCA Cluster,855.0714
DC15094,4HCCA Cluster,861.0794
DC15094,4HCCA Cluster,871.0453
DC15094,4HCCA Cluster,1066.0959
DC15094,4HCCA Cluster,606.0915
DC15094,Bovine Casein a-S1,1267.7045
DC15094,Keratin,1549.6772
DC15094,Keratin,2705.1611
DC15094,Keratin (Human),1193.6161
DC15094,Keratin (Human),2286.1248
DC15017,4HCCA Cluster,839.0974
DC15017,4HCCA Cluster,855.0714
DC15017,4HCCA Cluster,861.0794
DC15017,4HCCA Cluster,871.0453
DC15017,4HCCA Cluster,1066.0959
DC15017,Keratin,809.4403
DC15017,Keratin,2705.1611
DC15017,Keratin (Human),1201.6171
DC15260,Keratin,2705.1611
DC15249,4HCCA Cluster,855.0714
DC15249,4HCCA Cluster,871.0453
DC15249,4HCCA Cluster,606.0915
DC15249,Bovine Casein a-S1,1267.7045
DC15240,4HCCA Cluster,855.0714
DC15240,4HCCA Cluster,871.0453
DC15240,4HCCA Cluster,606.0915
DC15262,4HCCA Cluster,855.0714
DC15262,4HCCA Cluster,871.0453
DC15262,4HCCA Cluster,606.0915
DC15243,4HCCA Cluster,855.0714
DC15243,4HCCA Cluster,871.0453
DC15243,4HCCA Cluster,606.0915
DC15243,Keratin,2581.1947
DC15243,Keratin (Human),1201.6171
DC15243,Keratin (Human),1208.6157
DC15243,"Porcine Trypsin, Methylated",2720.3634
DC15288,Bovine Casein a-S1,1267.7045
DC15288,Keratin (Human),2566.2784
DC15215,4HCCA Cluster,855.0714
DC15215,4HCCA Cluster,871.0453
DC15215,4HCCA Cluster,606.0915
DC15215,Bovine Casein a-S1,1267.7045
DC15215,Bovine Serum Albumin (BSA),1491.7518
DC15215,Keratin,1549.6772
DC15215,Keratin (Human),1201.6171
DC15215,Keratin (Human),1491.7438
DC15215,Keratin (Human),2566.2784
DC15273,4HCCA Cluster,855.0714
DC15273,4HCCA Cluster,861.0794
DC15273,4HCCA Cluster,871.0453
DC15273,Bovine Casein a-S1,1267.7045
DC15273,Keratin,2581.1947
DC15273,"Porcine Trypsin, Methylated",2720.3634
DC15259,4HCCA Cluster,855.0714
DC15259,4HCCA Cluster,871.0453
DC15259,4HCCA Cluster,606.0915
DC15259,Bovine Casein a-S1,1267.7045
DC15026,4HCCA Cluster,855.0714
DC15026,4HCCA Cluster,861.0794
DC15026,4HCCA Cluster,606.0915
DC15026,Bovine Casein a-S1,1267.7045
DC15026,Keratin,809.4403
DC15026,Keratin,2581.1947
DC15026,Keratin,2705.1611
DC15026,Keratin (Human),1193.6161
DC15026,Keratin (Human),1201.6171
DC15026,"Porcine Trypsin, Methylated",2720.3634
DC12768,4HCCA Cluster,871.0453
DC15015,4HCCA Cluster,839.0974
DC15015,4HCCA Cluster,855.0714
DC15015,4HCCA Cluster,861.0794
DC15015,4HCCA Cluster,871.0453
DC15015,4HCCA Cluster,1066.0959
DC15015,4HCCA Cluster,606.0915
DC15015,Bovine Casein a-S1,1267.7045
DC15015,Keratin,1549.6772
DC15015,Keratin,2581.1947
DC15015,Keratin (Human),1193.6161
DC15015,Keratin (Human),2286.1248
DC15069,4HCCA Cluster,861.0794
DC15069,Keratin,1549.6772
DC15069,Keratin,2705.1611
DC15069,Keratin (Human),1201.6171
DC15069,"Porcine Trypsin, Methylated",2720.3634
DC15224,4HCCA Cluster,855.0714
DC15224,4HCCA Cluster,871.0453
DC15224,4HCCA Cluster,1060.0879
DC15224,4HCCA Cluster,606.0915
DC15224,Keratin,2705.1611
DC15271,Keratin,2705.1611
DC15096,4HCCA Cluster,855.0714
DC15096,4HCCA Cluster,861.0794
DC15096,4HCCA Cluster,871.0453
DC15096,4HCCA Cluster,606.0915
DC15096,Keratin,809.4403
DC15096,Keratin,1549.6772
DC15096,Keratin,2705.1611
DC15096,Keratin (Human),1201.6171
DC15241,4HCCA Cluster,855.0714
DC15241,4HCCA Cluster,871.0453
DC15241,4HCCA Cluster,1060.0879
DC15241,4HCCA Cluster,606.0915
DC15891diff,4HCCA Cluster,871.0453
DC15891diff,Bovine Casein a-S1,1267.7045
DC15255,4HCCA Cluster,855.0714
DC15255,4HCCA Cluster,871.0453
DC15255,Bovine Casein a-S1,1267.7045
DC15255,Keratin (Human),1201.6171
DC15024,4HCCA Cluster,855.0714
DC15024,4HCCA Cluster,861.0794
DC15024,Bovine Casein a-S1,1267.7045
DC15024,Keratin,809.4403
DC15024,Keratin,1549.6772
DC15024,Keratin,2705.1611
DC15024,Keratin (Human),1193.6161
DC15024,Keratin (Human),1201.6171
DC15235,4HCCA Cluster,871.0453
DC15235,Bovine Casein a-S1,1267.7045
DC15261,4HCCA Cluster,871.0453
DC15066,4HCCA Cluster,855.0714
DC15066,4HCCA Cluster,861.0794
DC15066,Bovine Casein a-S1,1267.7045
DC15066,Keratin,809.4403
DC15066,Keratin,1549.6772
DC15066,Keratin (Human),1193.6161
DC15066,Keratin (Human),1201.6171
DC15071,4HCCA Cluster,839.0974
DC15071,4HCCA Cluster,845.1054
DC15071,4HCCA Cluster,855.0714
DC15071,4HCCA Cluster,861.0794
DC15071,4HCCA Cluster,871.0453
DC15071,4HCCA Cluster,1066.0959
DC15071,4HCCA Cluster,1060.0879
DC15071,4HCCA Cluster,606.0915
DC15071,Bovine Casein a-S1,1267.7045
DC15071,Keratin,1549.6772
DC15071,Keratin (Human),1475.7489
DC15071,Keratin (Human),1475.7853
DC15060,4HCCA Cluster,855.0714
DC15060,4HCCA Cluster,861.0794
DC15060,Bovine Casein a-S1,1267.7045
DC15060,Bovine Serum Albumin (BSA),1491.7518
DC15060,Keratin,1549.6772
DC15060,Keratin,2705.1611
DC15060,Keratin (Human),1475.7489
DC15060,Keratin (Human),1475.7853
DC15060,Keratin (Human),1491.7438
DC15060,Keratin (Human),1638.7657
DC15060,Keratin (Human),1638.8598
DC15060,Keratin (Human),2566.2784
DC15239,4HCCA Cluster,855.0714
DC15239,4HCCA Cluster,871.0453
DC15075,4HCCA Cluster,855.0714
DC15075,4HCCA Cluster,861.0794
DC15075,4HCCA Cluster,606.0915
DC15075,Keratin,809.4403
DC15075,Keratin,1549.6772
DC15075,Keratin,2705.1611
DC15075,Keratin (Human),1193.6161
DC15216,4HCCA Cluster,855.0714
DC15216,4HCCA Cluster,871.0453
DC15216,4HCCA Cluster,1060.0879
DC15216,4HCCA Cluster,606.0915
DC15107,4HCCA Cluster,855.0714
DC15107,4HCCA Cluster,606.0915
DC15107,Bovine Serum Albumin (BSA),1491.7518
DC15107,Keratin,2705.1611
DC15107,Keratin (Human),1183.6157
DC15107,Keratin (Human),1491.7438
DC15107,Keratin (Human),1765.7347
DC15107,"Porcine Trypsin, Methylated",2720.3634
DC15112,4HCCA Cluster,855.0714
DC15112,4HCCA Cluster,861.0794
DC15112,4HCCA Cluster,871.0453
DC15112,Bovine Casein a-S1,1267.7045
DC15112,"Porcine Trypsin, Methylated",2003.0729
DC15112,"Porcine Trypsin, Methylated",2720.3634
DC15103,4HCCA Cluster,855.0714
DC15103,4HCCA Cluster,871.0453
DC15103,Bovine Serum Albumin (BSA),1491.7518
DC15103,Keratin (Human),1491.7438
DC15103,Keratin (Human),1765.7347
DC15103,"Porcine Trypsin, Methylated",2707.4162
