Sample,contaminant,mass
VH367,Bovine Casein a-S1,1267.7045
VH358,4HCCA Cluster,855.0714
VH358,4HCCA Cluster,871.0453
VH433,Bovine Casein a-S1,1267.7045
VH433,Porcine Trypsin,1045.5637
VH348,Bovine Casein a-S1,1267.7045
VH348,"Porcine Trypsin, Methylated",2807.3141
VH460,4HCCA Cluster,855.0714
VH460,4HCCA Cluster,861.0794
VH460,Bovine Casein a-S1,1267.7045
VH548,Bovine Casein a-S1,1267.7045
VH548,Porcine Trypsin,1045.5637
VH344,"Porcine Trypsin, Methylated",2720.3634
VH349,4HCCA Cluster,855.0714
VH349,4HCCA Cluster,861.0794
VH349,4HCCA Cluster,871.0453
VH349,Bovine Casein a-S1,1267.7045
VH321,4HCCA Cluster,855.0714
VH321,4HCCA Cluster,606.0915
VH321,Bovine Casein a-S1,1267.7045
VH504,4HCCA Cluster,855.0714
VH504,4HCCA Cluster,871.0453
VH504,Keratin,1549.6772
VH467,4HCCA Cluster,855.0714
VH467,4HCCA Cluster,861.0794
VH467,4HCCA Cluster,871.0453
VH467,4HCCA Cluster,1066.0959
VH467,4HCCA Cluster,606.0915
VH467,Bovine Casein a-S1,1267.7045
VH415,4HCCA Cluster,855.0714
VH415,4HCCA Cluster,861.0794
VH415,Bovine Casein a-S1,1267.7045
VH415,Porcine Trypsin,842.5094
VH415,Porcine Trypsin - Methylated,870.5407
VH444,4HCCA Cluster,855.0714
VH444,4HCCA Cluster,861.0794
VH444,4HCCA Cluster,871.0453
VH444,4HCCA Cluster,1066.0959
VH444,4HCCA Cluster,606.0915
VH444,Bovine Casein a-S1,1267.7045
VH310,4HCCA Cluster,855.0714
VH310,4HCCA Cluster,861.0794
VH310,Bovine Casein a-S1,1267.7045
VH310,Keratin (Human),1308.6543
VH310,Keratin (Human),1585.7584
VH347,4HCCA Cluster,855.0714
VH347,4HCCA Cluster,871.0453
VH347,4HCCA Cluster,606.0915
VH347,Bovine Casein a-S1,1267.7045
VH391,Keratin (Human),1638.7657
VH391,Keratin (Human),1638.8598
VH502,4HCCA Cluster,855.0714
VH502,4HCCA Cluster,871.0453
VH502,Bovine Casein a-S1,1267.7045
VH545,4HCCA Cluster,855.0714
VH545,Bovine Casein a-S1,1267.7045
VH325,4HCCA Cluster,861.0794
VH323,4HCCA Cluster,855.0714
VH323,4HCCA Cluster,861.0794
VH323,Bovine Casein a-S1,1267.7045
VH323,Keratin,1549.6772
VH568,Keratin,1549.6772
VH537,4HCCA Cluster,855.0714
VH537,4HCCA Cluster,871.0453
VH537,Bovine Casein a-S1,1267.7045
VH537,Porcine Trypsin,1045.5637
VH537,"Porcine Trypsin, Methylated",2720.3634
VH318,Bovine Casein a-S1,1267.7045
VH576,Bovine Casein a-S1,1267.7045
VH308,4HCCA Cluster,861.0794
VH308,4HCCA Cluster,606.0915
VH308,Bovine Serum Albumin (BSA),1479.7954
VH308,Keratin (Human),1082.5993
VH308,Keratin (Human),1393.7322
VH308,Porcine Trypsin,1220.5906
VH511,4HCCA Cluster,855.0714
VH511,4HCCA Cluster,861.0794
VH511,4HCCA Cluster,871.0453
VH392,Bovine Casein a-S1,1267.7045
VH392,Keratin (Human),1585.7584
VH392,"Porcine Trypsin, Methylated",2003.0729
VH394,4HCCA Cluster,855.0714
VH394,4HCCA Cluster,861.0794
VH394,4HCCA Cluster,871.0453
VH394,4HCCA Cluster,606.0915
VH591,Bovine Casein a-S1,1267.7045
VH555,4HCCA Cluster,855.0714
VH555,4HCCA Cluster,871.0453
VH555,Keratin (Human),973.5313
VH555,"Porcine Trypsin, Methylated",2720.3634
VH602,4HCCA Cluster,855.0714
VH602,4HCCA Cluster,871.0453
VH602,4HCCA Cluster,606.0915
VH602,Bovine Casein a-S1,1267.7045
VH602,"Porcine Trypsin, Methylated",2720.3634
VH573,Bovine Casein a-S1,1267.7045
VH404,4HCCA Cluster,855.0714
VH404,Bovine Casein a-S1,1267.7045
VH482,4HCCA Cluster,855.0714
VH482,4HCCA Cluster,861.0794
VH482,4HCCA Cluster,871.0453
VH482,4HCCA Cluster,1066.0959
VH351,4HCCA Cluster,861.0794
VH351,Bovine Casein a-S1,1267.7045
VH451,4HCCA Cluster,855.0714
VH451,4HCCA Cluster,861.0794
VH451,4HCCA Cluster,871.0453
VH420,Bovine Casein a-S1,1267.7045
VH525,Bovine Casein a-S1,1267.7045
VH525,Porcine Trypsin,1045.5637
VH369,4HCCA Cluster,855.0714
VH369,4HCCA Cluster,871.0453
VH369,Bovine Casein a-S1,1267.7045
VH522,4HCCA Cluster,855.0714
VH522,4HCCA Cluster,871.0453
VH522,4HCCA Cluster,606.0915
VH522,Bovine Casein a-S1,1267.7045
VH522,Keratin (Human),973.5313
VH522,Porcine Trypsin,1045.5637
VH313,4HCCA Cluster,855.0714
VH313,Bovine Casein a-S1,1267.7045
VH313,Keratin,1549.6772
VH586,Bovine Casein a-S1,1267.7045
VH547,4HCCA Cluster,855.0714
VH547,4HCCA Cluster,871.0453
VH547,4HCCA Cluster,606.0915
VH547,Bovine Casein a-S1,1267.7045
VH293,Bovine Casein a-S1,1267.7045
VH293,Keratin (Human),2510.1318
VH603,Bovine Casein a-S1,1267.7045
VH448,4HCCA Cluster,855.0714
VH448,4HCCA Cluster,861.0794
VH448,4HCCA Cluster,871.0453
VH448,4HCCA Cluster,1066.0959
VH412,Bovine Casein a-S1,1267.7045
VH508,4HCCA Cluster,855.0714
VH508,4HCCA Cluster,861.0794
VH508,4HCCA Cluster,871.0453
VH508,4HCCA Cluster,1066.0959
VH418,Bovine Casein a-S1,1267.7045
VH385,4HCCA Cluster,839.0974
VH385,4HCCA Cluster,855.0714
VH385,4HCCA Cluster,861.0794
VH385,4HCCA Cluster,871.0453
VH385,4HCCA Cluster,1066.0959
VH385,4HCCA Cluster,606.0915
VH385,Porcine Trypsin,842.5094
VH385,Porcine Trypsin,1045.5637
VH385,Porcine Trypsin - Methylated,870.5407
VH551,Bovine Casein a-S1,1267.7045
VH483,4HCCA Cluster,855.0714
VH483,4HCCA Cluster,861.0794
VH483,4HCCA Cluster,871.0453
VH483,4HCCA Cluster,1066.0959
VH483,Bovine Casein a-S1,1267.7045
VH439,4HCCA Cluster,855.0714
VH439,4HCCA Cluster,861.0794
VH439,4HCCA Cluster,871.0453
VH439,4HCCA Cluster,1066.0959
VH439,4HCCA Cluster,606.0915
VH439,Bovine Casein a-S1,1267.7045
VH439,Keratin (Human),1585.7584
VH439,Keratin (Human),1812.8583
VH472,4HCCA Cluster,855.0714
VH472,4HCCA Cluster,606.0915
VH472,Bovine Casein a-S1,1267.7045
VH472,"Porcine Trypsin, Methylated",2720.3634
VH345,4HCCA Cluster,855.0714
VH345,4HCCA Cluster,871.0453
VH345,Bovine Casein a-S1,1267.7045
VH294,4HCCA Cluster,855.0714
VH294,4HCCA Cluster,861.0794
VH294,4HCCA Cluster,1066.0959
VH294,Bovine Casein a-S1,1267.7045
VH604,4HCCA Cluster,855.0714
VH604,4HCCA Cluster,871.0453
VH604,4HCCA Cluster,606.0915
VH604,Keratin (Human),1183.6157
VH604,Keratin (Human),1265.6372
VH604,Keratin (Human),1447.7751
VH604,Porcine Trypsin,842.5094
VH517,4HCCA Cluster,606.0915
VH517,Bovine Casein a-S1,1267.7045
VH517,Keratin (Human),1201.6171
VH517,Keratin (Human),1585.7584
VH332,4HCCA Cluster,855.0714
VH332,4HCCA Cluster,861.0794
VH562,4HCCA Cluster,861.0794
VH562,Bovine Casein a-S1,1267.7045
VH562,Keratin,809.4403
VH562,Keratin (Human),1308.6543
VH562,Porcine Trypsin,1045.5637
VH562,"Porcine Trypsin, Methylated",2720.3634
VH567,4HCCA Cluster,855.0714
VH567,4HCCA Cluster,871.0453
VH567,4HCCA Cluster,606.0915
VH567,Keratin (Human),973.5313
VH596,4HCCA Cluster,606.0915
VH596,Keratin (Human),973.5313
VH417,4HCCA Cluster,855.0714
VH417,4HCCA Cluster,871.0453
VH417,Bovine Casein a-S1,1267.7045
VH458,4HCCA Cluster,855.0714
VH458,4HCCA Cluster,861.0794
VH458,4HCCA Cluster,871.0453
VH402,4HCCA Cluster,855.0714
VH402,4HCCA Cluster,861.0794
VH402,4HCCA Cluster,1066.0959
VH402,Bovine Casein a-S1,1267.7045
VH372,4HCCA Cluster,855.0714
VH372,4HCCA Cluster,871.0453
VH372,Bovine Casein a-S1,1267.7045
VH462,4HCCA Cluster,855.0714
VH462,4HCCA Cluster,871.0453
VH462,4HCCA Cluster,606.0915
VH462,Bovine Casein a-S1,1267.7045
VH462,"Porcine Trypsin, Methylated",2720.3634
VH449,4HCCA Cluster,855.0714
VH449,4HCCA Cluster,861.0794
VH449,4HCCA Cluster,606.0915
VH449,Keratin (Human),973.5313
VH303,4HCCA Cluster,855.0714
VH303,Bovine Casein a-S1,1267.7045
VH445,4HCCA Cluster,855.0714
VH445,4HCCA Cluster,861.0794
VH445,4HCCA Cluster,871.0453
VH445,4HCCA Cluster,606.0915
VH428,Bovine Casein a-S1,1267.7045
VH428,Keratin,2705.1611
VH428,Keratin (Human),1638.7657
VH428,Keratin (Human),1638.8598
VH549,4HCCA Cluster,855.0714
VH549,4HCCA Cluster,861.0794
VH549,4HCCA Cluster,606.0915
VH549,Bovine Casein a-S1,1267.7045
VH549,"Porcine Trypsin, Methylated",2003.0729
VH454,4HCCA Cluster,855.0714
VH454,4HCCA Cluster,861.0794
VH454,4HCCA Cluster,871.0453
VH454,4HCCA Cluster,1066.0959
VH454,4HCCA Cluster,606.0915
VH454,Keratin (Human),1265.6372
VH454,"Porcine Trypsin, Methylated",2720.3634
VH556,Bovine Casein a-S1,1267.7045
VH556,Keratin (Human),1308.6543
VH387,Bovine Casein a-S1,1267.7045
VH383,4HCCA Cluster,855.0714
VH383,4HCCA Cluster,871.0453
VH383,Bovine Casein a-S1,1267.7045
VH300,4HCCA Cluster,839.0974
VH300,4HCCA Cluster,855.0714
VH300,4HCCA Cluster,861.0794
VH300,4HCCA Cluster,871.0453
VH300,4HCCA Cluster,1066.0959
VH300,4HCCA Cluster,1060.0879
VH300,4HCCA Cluster,606.0915
VH300,Porcine Trypsin,842.5094
VH300,Porcine Trypsin,1045.5637
VH300,Porcine Trypsin,2211.104
VH300,Porcine Trypsin - Methylated,870.5407
VH311,4HCCA Cluster,855.0714
