Sample,COL1_1_508_519,COL1_2_978_990,COL1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,ZooMS_taxon,Family,Order,Correlation
VH288,1105.6,1453.7,,2115.1,2808.4,2853.4,,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.265961025
VH289,1105.6,,1235.6,1453.7,,,2147.1,2820.4,2853.4,2869.4,2957.4,,Mustela/Meles,Mustelidae,Carnivora,0.252962235
VH290,1105.6,,1235.6,1453.7,,2147.1,,2853.4,2869.4,,,,Mustela/Lutra,Mustelidae,Carnivora,0.22426475
VH291,1105.6,,1427.7,,,2145.1,2820.4,2883.4,,,2999.4,,Equus,Equidae,Perissodactyla,0.197148293
VH292,1105.6,,,1453.7,,2147.1,,2853.4,2869.4,,,,Mustela/Lutra/Panthera/Meles/Martes,Mustelidae/Felidae,Carnivora,0.236381529
VH293,1105.6,1453.7,,,,2853.4,,,,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.15635049
VH294,1105.6,1453.7,,2115.1,2808.4,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.292305469
VH296,1105.6,,,1453.7,,2147.1,2820.4,2853.4,2869.4,,,,Panthera/Mustela/Lutra,Felidae/Mustelidae,Carnivora,0.254448008
VH297,1105.6,1453.7,,2115.1,,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.192397211
VH298,1105.6,1453.7,,2115.1,,2853.4,2869.4,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.303960017
VH299,1105.6,,,1453.7,,2131.1,,2853.4,2869.4,,,,Cuon/Canis,Canidae,Carnivora,0.227608089
VH301,1105.6,,,1427.7,,,2131.1,,,2899.4,,3093.4,Rangifer/Capra/Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.233556677
VH302,1105.6,1453.7,,2115.1,2808.4,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.21760334
VH303,1105.6,1453.7,,2115.1,,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.24765733
VH304,1105.6,1453.7,,,,2853.4,2869.4,,,,,,Mammoth/Elephas/Ursus,Elephantidae/Ursidae,Proboscidea/Carnivora,0.283452503
VH305,1105.6,,1453.7,,,2853.4,,,,,,,Ursus/Mammoth/Elephas,Ursidae/Elephantidae,Carnivora/Proboscidea,0.156974944
VH306,1105.6,1453.7,,2129.1,,,2899.4,,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,
VH307,1105.6,1453.7,,,,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.167624163
VH308,,1594.8,1548.8,,,,,,,,,,Barbastella,Vespertilionidae,Chiroptera,0.158151801
VH309,1105.6,1453.7,,2115.1,,2853.4,,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.303397821
VH310,1105.6,,,1453.7,,2147.1,,2853.4,2869.4,,,,Mustela/Lutra/Panthera,Mustelidae/Felidae,Carnivora,0.203865666
VH311,1105.6,1453.7,,,2808.4,2853.4,,,,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.13888638
VH312,1105.6,,,1453.7,,2147.1,,2853.4,2869.4,,,,Mustela/Lutra/Panthera/Meles/Martes,Mustelidae/Felidae,Carnivora,0.24351519
VH313,1105.6,1453.7,,2115.1,2808.4,2853.4,,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.278921429
VH314,1105.6,,,1427.7,1550.8,,2131.1,,,,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.173383775
VH315,1105.6,1453.7,,2115.1,2808.4,2853.4,,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.305481582
VH316,1105.6,,1427.7,1550.8,,2145.1,,,,,,,Equus,Equidae,Perissodactyla,0.113876551
VH317,1105.6,1453.7,,2115.1,2808.4,2853.4,,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.252756223
VH318,1105.6,1453.7,,2115.1,,2853.4,2869.4,,,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.252513342
VH319,1105.6,,1427.7,1550.8,,,,,,,,,Equus/Cervus/Saiga/Gazelle,Equidae/Cervidae/Bovidae,Perissodactyla/Artiodactyla,0.083556014
VH321,1105.6,1453.7,,2115.1,,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.213368775
VH322,1105.6,,1221.6,1453.7,,2129.1,,2883.4,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,
VH323,,1453.7,,2147.1,2853.4,,,,,,,,Mustela,Mustelidae,Carnivora,0.186659938
VH324,1105.6,1453.7,,2115.1,2808.4,2853.4,,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.215350965
VH325,1105.6,,1427.7,1550.8,,,,,,,,,Equus/Cervus/Saiga/Gazelle,Equidae/Cervidae/Bovidae,Perissodactyla/Artiodactyla,0.141688324
VH327,1105.6,1453.7,,2129.1,,,2899.4,,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,
VH328,1105.6,,,1453.7,,2145.1,2869.4,,,,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.220764308
VH329,1105.6,1453.7,,2129.1,,,2899.4,,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,
VH330,1105.6,,1453.7,,,2853.4,,,,,,,Ursus,Ursidae,Carnivora,0.185606201
VH331,1105.6,,1453.7,,,2853.4,,,,,,,Ursus,Ursidae,Carnivora,0.203048002
VH332,1105.6,,1427.7,1550.8,,,,,,,,,Equus,Equidae,Perissodactyla,0.104997745
VH333,1105.6,,1221.6,1453.7,,2129.1,,,2899.4,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,
VH334,1105.6,,,1453.7,,2145.1,2869.4,,,,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.203884545
VH335,1105.6,,,1427.7,1550.8,,2131.1,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.176641345
VH336,1105.6,,1208.6,1427.7,,,2131.1,2792.4,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.208842811
VH337,1105.6,1453.7,,2115.1,,2853.4,2869.4,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.212247971
VH338,1105.6,,1427.7,1550.8,,,,,,,,,Equus/Cervus/Saiga/Gazelle,Equidae/Cervidae/Bovidae,Perissodactyla/Artiodactyla,0.160325865
VH339,1105.6,,,1427.7,1550.8,,2131.1,,,2899.4,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.171562699
VH340,1105.6,,1427.7,1550.8,,,,,,,,,Equus/Cervus/Saiga/Gazelle,Equidae/Cervidae/Bovidae,Perissodactyla/Artiodactyla,0.144895562
