Sample,COL1_1_508_519,COL1_2_978_990,COL1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,ZooMS_taxon,Family,Order,Correlation
KAV510,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.266930843
KMP020,1105.6,1427.7,,,,,,,,,,,Giraffa,Giraffidae,Artiodactyla,0.286048046
KAV148,1105.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,,,,,,Giraffa,Giraffidae,Artiodactyla,0.315147261
KMP067,,,1198.6,,,,,,,,,,Rhinoceros/Diceros,Rhinocerotidae,Perissodactyla,0.010255145
SAL017,1105.6,,1208.6,1427.7,,,2131.1,,2853.4,,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.288405114
KAV390,1105.6,,,1427.7,,,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.47620869
KAV207,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,,,,Bos/Bison,Bovidae,Artiodactyla,0.241596026
KAV457,1105.6,,,1453.7,,,,2820.4,2853.4,2869.4,,2999.4,Felis/Canis,Felidae,Carnivora,0.315699652
KMP062,1105.6,,,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,,,,Bos/Aepyceros/Ourebia/Pelea/Antidorcas/Connochaetes/Damaliscus,Bovidae,Artiodactyla,0.232957412
KAV441,1105.6,1182.6,,,,,,,,,,,Rhinoceros/Diceros/Dicerorhinus,Rhinocerotidae,Perissodactyla,0.050265146
KMP056,1105.6,,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2853.4,,,,Cephalophus/Giraffa/Sylvicapra/Bos/Bison,Bovidae,Artiodactyla,0.24272744
KAV295,1105.6,,1208.6,1427.7,,,,,,,,,Tragelaphus/Philatomba/Taurotragus/Oretragus,Bovidae,Artiodactyla,0.136145593
KMP066,1105.6,1166.6,1182.6,1427.7,1550.8,2131.1,,,2883.4,,,,Madoqua,Bovidae,Artiodactyla,0.2920508
KMP007,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.341201984
KAV093,1105.6,1427.7,1580.8,,1648.8,,,,,,,,Giraffa,Giraffidae,Artiodactyla,0.236178291
KMP026,1105.6,1427.7,,2131.1,1648.8,,2883.4,,,,,,Giraffa,Giraffidae,Artiodactyla,0.355224675
KMP042,1105.6,,1221.6,1453.7,1566.8,2129.1,,2883.4,,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,0.280467
KAV412,1105.6,,,1427.7,,,,,2853.4,2869.4,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.249311629
KMP071,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.272934088
KAV238,1105.6,,1208.6,1427.7,1580.8,,2131.1,,2853.4,2869.4,,,Bos/Bison/Cephalophus/Sylvicapra,Bovidae,Artiodactyla,0.253109819
KAV392,1105.6,,,1427.7,,,,,2853.4,,,,Bos/Bison/Cephalophus/Sylvicapra,Bovidae,Artiodactyla,0.171782743
KAV482,1105.6,1427.7,,2131.1,1648.8,2792.4,2883.4,2899.4,,,,,Giraffa,Giraffidae,Artiodactyla,0.356824917
KMP053,1105.6,,,1427.7,1550.8,2131.1,,,2883.4,,,,Bos/Aepyceros/Ourebia/Antidorcas/Pelea/Connochaetes,Bovidae,Artiodactyla,0.328078533
KAV533,1105.6,,,1427.7,,,,,2853.4,,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.302574544
KMP025,1105.6,1427.7,1580.8,2131.1,1648.8,,,,,,,,Giraffa/Sylvicapra/Tragelaphus/Bos/Bison,Giraffidae/Bovidae,Artiodactyla,0.350447582
KAV518,1105.6,,1208.6,1427.7,1580.8,2131.1,,,2853.4,,,,Sylvicapra/Bos/Bison/Cephalophus,Bovidae,Artiodactyla,0.280909345
KAV396,1105.6,,1221.6,1453.7,,2129.1,,2883.4,2899.4,,,,Lepus/Oryctolagus,Leporidae,Lagomorpha,0.280909345
KMP027,,1427.7,1580.8,2131.1,,,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.250698898
KAV135,1105.6,1182.6,,1453.7,,,,2869.4,2885.4,,,,Rhinoceros/Diceros/Dicerorhinus,Rhinocerotidae,Perissodactyla,0.19942788
KAV536,1105.6,1453.7,,2129.1,,2883.4,2899.4,,,,,,Oryctolagus/Lepus,Leporidae,Lagomorpha,0.21324
KAV017,,1427.7,,,,,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.093750484
KAV310,1105.6,1427.7,,,,,,,,,,,Giraffa,Giraffidae,Artiodactyla,0.14343869
ZAM002,,1427.7,1580.8,2131.1,,,,,,,,,Bos/Ammotragus,Bovidae,Artiodactyla,0.218076137
KMP064,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,,,3017.4,,Bos/Bison/Giraffa/Oretragus,Bovidae,Artiodactyla,0.237265683
