,Order,Family,Species,ZooMS_taxon,COL1a1_508_-_519,COL1a3_568_-_579,COL1a3_839_-_847,COL1a2_978_-_990,COL1a2_244_-_258,COL1a3_746_-_762,COL1a1_688_-_704,COL1a1_688_-_704.1,COL1a2_889_-_906,COL1a1_889_-_906,COL1a2_502_-_519,COL1a2_502_-_519.1,COL1a2_688_-_704,COL1a2_688_-_704.1,COL1a3_889-907,COL1a2_907_-_924,COL1a2_907_-_924.1,COL1a2_793_-_806,COL1a2_793_-_806.1,COL1a1_817_-_837,COL1a1_817_-_837.1,COL1a1_817_-_837.2,COL1a1_817_-_837.3,COL1a1_881_-_900,COL1a1_881_-_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_-_687,COL1a2_658_-_687.1,COL1a2_625_-_648,COL1a2_625_-_648.1,COL1a2_625_-_648.2,COL1a2_625_-_648.3,COL1a3_532_-_555,COL1a2_733_-_756,COL1a2_733_-_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_-_483,COL1a2_586_-_618,COL1a1_586_-_618,COL1a1_586_-_618.1,COL1a2_658_-_687.2,COL1a2_658_-_687.3,COL1a2_757_-_789,COL1a2_757_-_789.1,COL1a2_757_-_789.2,COL1a2_757_-_789.3,COL1a2_10_-_42,COL1a2_10_-_42.1,COL1a2_991_-_1028,COL1a2_991_-_1028.1
0,Anguilliformes,Anguillidae,Anguilla anguilla,Anguilla,,,908.0,,,1457.0,1443,,1457.0,,1580.0,,1536,,,,,,,,,,,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anguilliformes,Congridae,Conger conger,Conger,,,870.0,,,1445.0,1514,,1467.0,,1580.0,,1536,,,,,,,,,,,,,,,2457,,,,,,,,,,,,,,,,,,,,,,,,,
2,Clupeiformes,Clupeidae,Clupea harengus,Clupea,,,930.0,,,1415.0,1471,,1554.0,,1594.0,,1614,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
3,Clupeiformes,Clupeidae,Sardina pilchardus,Sardina,,,930.0,,,1429.0,1471,,1554.0,,1566.0,,1614,,,,,,,,,,,,,,,2508,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cypriniformes,Cyprinidae,Carassius auratus,Carassius,994.0,,,,1294.0,,1443,,,,1461.0,,1545,,,,,1200.0,,,,,,1826.0,1842.0,,,,,2170,,,,,,,2674.0,2690.0,,,,,,,,,,,,,,,
5,Cypriniformes,Cyprinidae,Carassius carassius,Carassius,994.0,,910.0,,1294.0,1429.0,1443,,1476.0,,1534.0,,1545,,,,,1262.0,,,,,,1816.0,1832.0,,,2566,,2138,,,,,,,2674.0,2690.0,,,,,,,,,,,,,,,
6,Cypriniformes,Cyprinidae,Leuciscus leuciscus,Leuciscus,,,910.0,,,1429.0,1443,,1476.0,,1564.0,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cypriniformes,Cyprinidae,Scardinius erythropthalmus,Scardinius,,,910.0,,,1429.0,1443,,1476.0,,1552.0,,1537,,,,,,,,,,,,,,,2622,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cypriniformes,Cyprinidae,Squalius cephalus,Squalius,,,894.0,,,1429.0,1443,,,,1566.0,,1534,,,,,,,,,,,,,,,2566,,,,,,,,,,,,,,,,,,,,,,,,,
9,Esociformes,Esocidae,Esox lucius,Esox,1010.0,,886.0,,1339.0,1459.0,1459 /1492,,1536.0,,1568.0,,1545,,,,,1260.0,,,,,,1784.0,1800.0,,,2465,,2213,,,,,,,2663.0,2679.0,,,,,,,,,,,,,,,
