Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,COL1a2_10__42
Artiodactyla,Cervidae,Mazama_nemorivaga,Mazama,1105.6,1180.6,1196.6,1427.7,1580.8,,2131.1,2792.4,2883.4,2899.4,3043.4,3059.4,
Artiodactyla,Cervidae,Mazama_temama,Mazama,1105.6,1180.6,1196.6,1427.7,1580.8,,2145.1,2792.4,2883.4,2899.4,3043.4,3059.4,
Artiodactyla,Monodontidae,Delphinapterus_leucas,Monodon/Delphinapterus,1079.6,1189.6,1205.6,1443.7,1550.8,1652.8,2121.1,,2883.4,2899.4,3051.4,3067.4,
Artiodactyla,Monodontidae,Monodon_monoceros,Monodon/Delphinapterus,1079.6,1189.6,1205.6,1443.7,1550.8,1652.8,2089.1,,2883.4,2899.4,3051.4,3067.4,
Artiodactyla,Phocoenidae,Phocoena_phocoena,Phocoena,1079.6,,1205.6,1453.7,1550.8,1652.8,2119.1,,2883.4,,,3023.4,
Artiodactyla,Phocoenidae,Phocoenoides_dalli,Phocoena,1079.6,,1205.6,1453.7,1550.8,1652.8,2119.1,,2883.4,,,3023.4,
Artiodactyla,Physeteridae,Physeter_macrocephalus,Physeter,1079.6,1189.6,1205.6,1453.7,1550.8,1652.8,2133.1,,2883.4,2899.4,,3039.4,
Artiodactyla,Delphinidae,Delphinus_delphis,Delphinus,1079.6,,1205.6,1453.7,1566.8,1638.8,2119.1,2866.4,2883.4,,,3023.4,
Artiodactyla,Delphinidae,Globicephala_sp.,Globicephala,1063.6,,1205.6,1453.7,1566.8,1638.8,2119.1,,2883.4,,,3023.4,
Artiodactyla,Delphinidae,Grampus_griseus,Grampus,1063.6,1189.6,1205.6,1453.7,1566.8,1638.8,2119.1,2866.4,2883.4,2899.4,,3023.4,
Artiodactyla,Delphinidae,Lagenorhynchus_albirostris,Lagenorhynchus,1079.6,,1205.6,1453.7,1566.8,1638.8,2119.1,2866.4,2883.4,,,3023.4,
Artiodactyla,Delphinidae,Lagenorhynchus_sp.,Lagenorhynchus,1079.6,,1205.6,1453.7,1566.8,1652.8,2119.1,,2883.4,,,3023.4,
Artiodactyla,Delphinidae,Orcinus_orca,Orcinus,1079.6,1189.6,1205.6,1453.7,1566.8,1652.8,2119.1,2766.4,2883.4,2899.4,3007.4,3023.4,
Artiodactyla,Delphinidae,Pseudorca_crassidens,Pseudorca,1063.6,,1205.6,1453.7,1566.8,1638.8,2119.1,,2883.4,,,3023.4,
Artiodactyla,Delphinidae,Stenella_coeruleoalba,Stenella,1079.6,1189.6,1205.6,1453.7,1566.8,1638.8,2119.1,2866.4,2883.4,2899.4,,3023.4,
Artiodactyla,Delphinidae,Tursiops_sp.,Tursiops,1079.6,1189.6,1205.6,1453.7,1566.8,1638.8,2119.1,2866.4,2883.4,2899.4,3007.4,3023.4,
