contaminant,mass
4HCCA Cluster,839.0974
4HCCA Cluster,845.1054
4HCCA Cluster,855.0714
4HCCA Cluster,861.0794
4HCCA Cluster,867.0874
4HCCA Cluster,871.0453
4HCCA Cluster,994.1555
4HCCA Cluster,1036.0828
4HCCA Cluster,1044.114
4HCCA Cluster,1054.0933
4HCCA Cluster,1225.1254
4HCCA Cluster,1066.0959
4HCCA Cluster,1060.0879
4HCCA Cluster,568.1351
4HCCA Cluster,606.0915
Bovine Casein a-S1,742.4498
Bovine Casein a-S1,1251.7096
Bovine Casein a-S1,1267.7045
Bovine Casein a-S1,1384.73
Bovine Serum Albumin (BSA),732.4654
Bovine Serum Albumin (BSA),1002.583
Bovine Serum Albumin (BSA),1305.7161
Bovine Serum Albumin (BSA),1399.6926
Bovine Serum Albumin (BSA),1439.8118
Bovine Serum Albumin (BSA),1479.7954
Bovine Serum Albumin (BSA),1491.7518
Keratin,704.3825
Keratin,809.4403
Keratin,995.5197
Keratin,1000.5673
Keratin,1003.5531
Keratin,1036.5323
Keratin,1065.4993
Keratin,1129.6212
Keratin,1141.5194
Keratin,1262.5971
Keratin,1278.5855
Keratin,1301.6583
Keratin,1315.6852
Keratin,1340.6692
Keratin,1344.6754
Keratin,1350.6873
Keratin,1390.6809
Keratin,1418.7274
Keratin,1419.7478
Keratin,1442.8002
Keratin,1476.8057
Keratin,1549.6772
Keratin,1599.8337
Keratin,1792.8786
Keratin,1797.0116
Keratin,1837.9654
Keratin,1847.8051
Keratin,1851.9269
Keratin,2082.9648
Keratin,2109.0128
Keratin,2171.0247
Keratin,2184.1255
Keratin,2240.1697
Keratin,2329.1743
Keratin,2564.3679
Keratin,2581.1947
Keratin,2705.1611
Keratin,2746.4192
Keratin,2872.3928
Keratin,2902.4105
Keratin,2904.3826
Keratin,3223.2816
Keratin (Human),804.4098
Keratin (Human),807.3995
Keratin (Human),827.4298
Keratin (Human),827.4621
Keratin (Human),832.4887
Keratin (Human),848.4989
Keratin (Human),874.4993
Keratin (Human),881.4727
Keratin (Human),973.5313
Keratin (Human),1006.4297
Keratin (Human),1031.5983
Keratin (Human),1033.516
Keratin (Human),1037.5262
Keratin (Human),1060.5633
Keratin (Human),1064.6099
Keratin (Human),1066.6044
Keratin (Human),1071.6045
Keratin (Human),1082.5993
Keratin (Human),1090.531
Keratin (Human),1109.4898
Keratin (Human),1118.5086
Keratin (Human),1121.5837
Keratin (Human),1157.5909
Keratin (Human),1165.5848
Keratin (Human),1179.6004
Keratin (Human),1183.6157
Keratin (Human),1193.6161
Keratin (Human),1201.6171
Keratin (Human),1208.6157
Keratin (Human),1232.5978
Keratin (Human),1234.679
Keratin (Human),1235.5287
Keratin (Human),1254.6073
Keratin (Human),1265.6372
Keratin (Human),1277.6332
Keratin (Human),1277.71
Keratin (Human),1278.6437
Keratin (Human),1300.5296
Keratin (Human),1302.7012
Keratin (Human),1302.7151
Keratin (Human),1307.6776
Keratin (Human),1308.6543
Keratin (Human),1316.5246
Keratin (Human),1320.5828
Keratin (Human),1323.6726
Keratin (Human),1323.6539
Keratin (Human),1329.6393
Keratin (Human),1336.7107
Keratin (Human),1357.6958
Keratin (Human),1357.7183
Keratin (Human),1365.6393
Keratin (Human),1371.7114
