Order,Family,Species,ZooMS_taxon,COL1a1_508_519,COL1a3_568_579,COL1a3_839_847,COL1a2_978_990,COL1a2_244_258,COL1a3_746_762,COL1a1_688_704,COL1a1_688_704.1,COL1a2_889_906,COL1a1_889_906,COL1a2_502_519,COL1a2_502_519.1,COL1a2_688_704,COL1a2_688_704.1,COL1a3_889-907,COL1a2_907_924,COL1a2_907_924.1,COL1a2_793_806,COL1a2_793_806.1,COL1a1_817_837,COL1a1_817_837.1,COL1a1_817_837.2,COL1a1_817_837.3,COL1a1_881_900,COL1a1_881_900.1,COL1a2_817-836,COL1a2_817-836.1,COL1a2_658_687,COL1a2_658_687.1,COL1a2_625_648,COL1a2_625_648.1,COL1a2_625_648.2,COL1a2_625_648.3,COL1a3_532_555,COL1a2_733_756,COL1a2_733_756.1,COL1a1_934-963,COL1a1_934-963.1,COL1a1_934-963.2,COL1a2_454_483,COL1a2_586_618,COL1a1_586_618,COL1a1_586_618.1,COL1a2_658_687.2,COL1a2_658_687.3,COL1a2_757_789,COL1a2_757_789.1,COL1a2_757_789.2,COL1a2_757_789.3,COL1a2_10_42,COL1a2_10_42.1,COL1a2_991_1028,COL1a2_991_1028.1
Anguilliformes,Anguillidae,Anguilla anguilla,Anguilla,,,908,,,1457,1443,,1457,,1580,,1536,,,,,,,,,,,,,,,2480,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilliformes,Congridae,Conger conger,Conger,,,870,,,1445,1514,,1467,,1580,,1536,,,,,,,,,,,,,,,2457,,,,,,,,,,,,,,,,,,,,,,,,,
Clupeiformes,Clupeidae,Clupea harengus,Clupea,,,930,,,1415,1471,,1554,,1594,,1614,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
Clupeiformes,Clupeidae,Sardina pilchardus,Sardina,,,930,,,1429,1471,,1554,,1566,,1614,,,,,,,,,,,,,,,2508,,,,,,,,,,,,,,,,,,,,,,,,,
Cypriniformes,Cyprinidae,Carassius auratus,Carassius,994,,,,1294,,1443,,,,1461,,1545,,,,,1200,,,,,,1826,1842,,,,,2170,,,,,,,2674,2690,,,,,,,,,,,,,,,
Cypriniformes,Cyprinidae,Carassius carassius,Carassius,994,,910,,1294,1429,1443,,1476,,1534,,1545,,,,,1262,,,,,,1816,1832,,,2566,,2138,,,,,,,2674,2690,,,,,,,,,,,,,,,
Cypriniformes,Cyprinidae,Leuciscus leuciscus,Leuciscus,,,910,,,1429,1443,,1476,,1564,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cypriniformes,Cyprinidae,Scardinius erythropthalmus,Scardinius,,,910,,,1429,1443,,1476,,1552,,1537,,,,,,,,,,,,,,,2622,,,,,,,,,,,,,,,,,,,,,,,,,
Cypriniformes,Cyprinidae,Squalius cephalus,Squalius,,,894,,,1429,1443,,,,1566,,1534,,,,,,,,,,,,,,,2566,,,,,,,,,,,,,,,,,,,,,,,,,
Esociformes,Esocidae,Esox lucius,Esox,1010,,886,,1339,1459,1459 /1492,,1536,,1568,,1545,,,,,1260,,,,,,1784,1800,,,2465,,2213,,,,,,,2663,2679,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Gadiculus argenteus,Gadiculus,,,900,,,1453,1469,,1536,,1552,,1567,,,,,,,,,,,,,,,2386,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Gadus morhua,Gadus,996,1083,900,,1293,1461,1469,,1558,,1585,,1560,,,,,1186,,,,,,1766,1782,,,2470,,2083,,,,,,,2670,2686,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Melanogrammus aeglefinus,Melanogrammus,,,900,,,1492,1469,,1558,,1585,,1560,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Merlangius merlangus,Merlangius,,,900,,,1437,1469,,1558,,1585,,1484,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Micromesistius poutassou,Micromesistius,,,932,,,1483,1469,,1556,,1578,,1542,,,,,,,,,,,,,,,2346,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Pollachius pollachius,Pollachius,,,900,,,1455,1478,,1558,,1574,,1522,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Pollachius virens,Pollachius,,,900,,,1455,1478,,1558,,1574,,1522,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Raniceps raninus,Raniceps,,,900,,,1445,1459,,1562,,1615,,1522,,,,,,,,,,,,,,,2440,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Trisopterus esmarkii,Trisopterus,,,900,,,1482,1469,,1558,,1578,,1581,,,,,,,,,,,,,,,2458,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Trisopterus luscus,Trisopterus,,,900,,,1506,1469,,1558,,1578,,1581,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Gadidae,Trisopterus minutus,Trisopterus,,,900,,,1482,1469,,1558,,1578,,1581,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Brosme brosme,Brosme,,,900,,,,1469,,1558,,1527,,1563,,,,,,,,,,,,,,,2482,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Enchelyopus cimbrius,Enchelyopus,,,926,,,1502,1469,,1508,,1584,,1547,,,,,,,,,,,,,,,2436,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Gaidropsarus vulgaris,Gaidropsarus,,,926,,,1483,1469,,1558,,1584,,1567,,,,,,,,,,,,,,,2428,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Lota lota,Lota,,,900,,,1479,1469,,1558,,1584,,1595,,,,,,,,,,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Molva dypterygia,Molva,,,900,,,,1469,,1600,,1584,,1553,,,,,,,,,,,,,,,2402,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Lotidae,Molva molva,Molva,,,900,,,1528,1469,,1547,,1584,,1567,,,,,,,,,,,,,,,2416,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Macrouridae,Coelorinchus coelorhincus,Coelorinchus,,,900,,,1509,1469,,1564,,1584,,1575,,,,,,,,,,,,,,,2418,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Merlucciidae,Merluccius merluccius,Merluccius,,,900,,,1455,1443,,1614,,1527,,1572,,,,,,,,,,,,,,,2466,,,,,,,,,,,,,,,,,,,,,,,,,
Gadiformes,Phycidae,Phycis blennoides,Phycis,,,900,,,1496,1443,,1524,,1584,,1590,,,,,,,,,,,,,,,2460,,,,,,,,,,,,,,,,,,,,,,,,,
Istiophoriformes,Istiophoridae,Istiophorus platypterus,Istiophorus,,,,,,1461,1469,,,,,,,,,1596,,,,,,,,,,,,2440,,,,,,,,,,,,,,2899,,,,,,,,,,,
Istiophoriformes,Istiophoridae,Kajikia albida,Kajikia,,,,,,1461,1469,,,,,,,,,1600,,,,,,,,,,,,2454,,,,,,,,,,,,,,2899,,,,,,,,,,,
Istiophoriformes,Istiophoridae,Kajikia audax,Kajikia,,,,,,1461,1469,,,,,,,,,1600,,,,,,,,,,,,2454,,,,,,,,,,,,,,2899,,,,,,,,,,,
Istiophoriformes,Istiophoridae,Makaira nigricans,Makaira,,,,,,1471,1469,,,,,,,,,1596,,,,,,,,,,,,2440,,,,,,,,,,,,,,2899,,,,,,,,,,,
Istiophoriformes,Xiphidae,Xiphias gladius,Xiphias,,1084,,,,1471,1469,,,,,,,,,1596,,,,,,,,,,,,2462,,,,,,,,,,,,,,2889,,,,,,,,,,,
Lophiiformes,Lophiidae,Lophius piscatorius,Lophius,,,950,,,1455,1543,,1598,,1554,,1618,,,,,,,,,,,,,,,2432,,,,,,,,,,,,,,,,,,,,,,,,,
Mugiliformes,Mugilidae,Liza ramada,Liza,,,936,,,1445,1469,,1566,,1582,,1534,,,,,,,,,,,,,,,2462,,,,,,,,,,,,,,,,,,,,,,,,,
Mugiliformes,Mugilidae,Mugil cephalus,Mugil,,,952,,,1445,1469,,1558,,1584,,1534,,,,,,,,,,,,,,,2472,,,,,,,,,,,,,,,,,,,,,,,,,
Osmeriformes,Osmeridae,Osmerus eperlanus,Osmerus,,,890,,,1393,1432,,1558,,1520,,1485,,,,,,,,,,,,,,,2483,,,,,,,,,,,,,,,,,,,,,,,,,
Perciformes,Acanthuridae,Acanthurus sp.,Acanthurus,1022,,,1167,1376,1445,1469,,,,,,1517,,,1554,,,,,,,,1816,1832,,,,,2125,,,,,,,,,,,,2824,,,,,,,,,,,
Perciformes,Bramidae,Brama brama,Brama,,,894,,,1445,1469,,1558,,1550,,1559,,,,,,,,,,,,,,,2506,,,,,,,,,,,,,,,,,,,,,,,,,
