Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Artiodactyla,Balaenidae,Balaena mysticetus,Balanea,1079.6,,1205.6,1453.7,1566.8,1682.8,2135.1,,2883.4,,,3023.4
Artiodactyla,Balaenidae,Eubalaena sp.,Balanea,1079.6,,1205.6,1453.7,1566.8,1682.8,2135.1,,2883.4,,,3023.4
Artiodactyla,Balaenopteridae,Balaenoptera borealis,Balanea,1079.6,,1205.6,1441.7,1550.8,1652.8,2135.1,,2883.4,,,3023.4
Artiodactyla,Balaenopteridae,Balaenoptera musculus,Balanea,1079.6,,1205.6,1453.7,1550.8,1652.8,2105.1,,2883.4,,,3023.4
Artiodactyla,Balaenopteridae,Balaenoptera physalus,Balanea,1079.6,,1205.6,1453.7,1566.8,1652.8,2135.1,,2883.4,,,3023.4
Artiodactyla,Balaenopteridae,Balaenoptera sp.,Balanea,1079.6,1189.6,1205.6,1441.7,1566.8,1652.8,2135.1,2849.4,2883.4,2899.4,3007.4,3023.4
Artiodactyla,Balaenopteridae,Eschrichtius robustus,Balanea,1079.6,,1205.6,1453.7,1566.8,1652.8,2135.1,,,2899.4,,3023.4
Artiodactyla,Balaenopteridae,Megaptera novaeangliae,Balanea,1079.6,,1205.6,1453.7,1566.8,1652.8,2135.1,,2869.4,,,3023.4
Artiodactyla,Bovidae,Bison sp.,Bos/Bison,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4
Artiodactyla,Bovidae,Bos grunniens,Bos/Bison,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4
Artiodactyla,Bovidae,Bos primigenius,Bos/Bison,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4
Artiodactyla,Bovidae,Bos taurus,Bos/Bison,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4
Artiodactyla,Bovidae,Capra aegagrus,Capra,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3077.4,3093.4
